"game_date","game_time_start","game_code","season","team_name","team_points","team_rpm","opponent_name","opponent_points","opponent_rpm","team_outcome","is_home"
"2013-10-31","10:30p","201310310LAC",2014,"Golden State Warriors",115,2.65380694444444,"Los Angeles Clippers",126,2.22878055555556,"L",FALSE
"2013-11-01","7:30p","201311010ATL",2014,"Atlanta Hawks",102,0.260520138888889,"Toronto Raptors",95,0.602313194444444,"W",TRUE
"2013-11-01","7:30p","201311010ATL",2014,"Toronto Raptors",95,0.602313194444444,"Atlanta Hawks",102,0.260520138888889,"L",FALSE
"2013-11-01","7:30p","201311010BOS",2014,"Boston Celtics",98,-1.10839027777778,"Milwaukee Bucks",105,-2.04418194444444,"L",TRUE
"2013-11-01","7:30p","201311010BOS",2014,"Milwaukee Bucks",105,-2.04418194444444,"Boston Celtics",98,-1.10839027777778,"W",FALSE
"2013-11-01","8:00p","201311010BRK",2014,"Brooklyn Nets",101,1.25622430555556,"Miami Heat",100,2.37753402777778,"W",TRUE
"2013-11-01","8:00p","201311010BRK",2014,"Miami Heat",100,2.37753402777778,"Brooklyn Nets",101,1.25622430555556,"L",FALSE
"2013-11-01","7:00p","201311010CHA",2014,"Charlotte Bobcats",90,-1.21006458333333,"Cleveland Cavaliers",84,-1.00436111111111,"W",TRUE
"2013-11-01","7:00p","201311010CHA",2014,"Cleveland Cavaliers",84,-1.00436111111111,"Charlotte Bobcats",90,-1.21006458333333,"L",FALSE
"2013-11-01","9:00p","201311010DEN",2014,"Denver Nuggets",98,-0.477345833333333,"Portland Trail Blazers",113,0.608271527777778,"L",TRUE
"2013-11-01","9:00p","201311010DEN",2014,"Portland Trail Blazers",113,0.608271527777778,"Denver Nuggets",98,-0.477345833333333,"W",FALSE
"2013-11-01","8:00p","201311010HOU",2014,"Houston Rockets",113,0.780817361111111,"Dallas Mavericks",105,0.514033333333333,"W",TRUE
"2013-11-01","8:00p","201311010HOU",2014,"Dallas Mavericks",105,0.514033333333333,"Houston Rockets",113,0.780817361111111,"L",FALSE
"2013-11-01","10:30p","201311010LAL",2014,"Los Angeles Lakers",85,-1.20377361111111,"San Antonio Spurs",91,2.50614583333333,"L",TRUE
"2013-11-01","10:30p","201311010LAL",2014,"San Antonio Spurs",91,2.50614583333333,"Los Angeles Lakers",85,-1.20377361111111,"W",FALSE
"2013-11-01","8:00p","201311010MEM",2014,"Memphis Grizzlies",111,1.1354251572327,"Detroit Pistons",108,-0.632267924528302,"W",TRUE
"2013-11-01","8:00p","201311010MEM",2014,"Detroit Pistons",108,-0.632267924528302,"Memphis Grizzlies",111,1.1354251572327,"L",FALSE
"2013-11-01","8:00p","201311010MIN",2014,"Minnesota Timberwolves",100,0.468507638888889,"Oklahoma City Thunder",81,0.961666666666667,"W",TRUE
"2013-11-01","8:00p","201311010MIN",2014,"Oklahoma City Thunder",81,0.961666666666667,"Minnesota Timberwolves",100,0.468507638888889,"L",FALSE
"2013-11-01","7:00p","201311010ORL",2014,"Orlando Magic",110,-1.83530486111111,"New Orleans Pelicans",90,-0.570018055555556,"W",TRUE
"2013-11-01","7:00p","201311010ORL",2014,"New Orleans Pelicans",90,-0.570018055555556,"Orlando Magic",110,-1.83530486111111,"L",FALSE
