"game_date","game_time_start","away_team","away_points","home_team","home_points","season","game_code","home_rpm","away_rpm"
"2013-11-04","8:00p","Boston Celtics",88,"Memphis Grizzlies",95,2014,"201311040MEM",1.09303958333333,-1.04438958333333
"2013-11-04","7:00p","Golden State Warriors",110,"Philadelphia 76ers",90,2014,"201311040PHI",-1.90823263888889,1.35700902777778
"2013-11-05","7:30p","Utah Jazz",88,"Brooklyn Nets",104,2014,"201311050BRK",0.711661805555556,-1.96102847222222
"2013-11-05","8:30p","Los Angeles Lakers",104,"Dallas Mavericks",123,2014,"201311050DAL",0.341569444444444,-1.26601041666667
"2013-11-05","9:00p","San Antonio Spurs",102,"Denver Nuggets",94,2014,"201311050DEN",-0.314671527777778,3.23970347222222
"2013-11-05","7:30p","Indiana Pacers",99,"Detroit Pistons",91,2014,"201311050DET",-0.89353125,0.422452777777778
"2013-11-05","8:00p","Phoenix Suns",104,"New Orleans Pelicans",98,2014,"201311050NOP",-0.842470833333333,-0.101051388888889
"2013-11-05","7:30p","Charlotte Bobcats",102,"New York Knicks",97,2014,"201311050NYK",0.511973611111111,-0.909039583333333
"2013-11-05","10:00p","Houston Rockets",116,"Portland Trail Blazers",101,2014,"201311050POR",0.601022916666667,1.79508888888889
"2013-11-05","10:00p","Atlanta Hawks",105,"Sacramento Kings",100,2014,"201311050SAC",-0.375408333333333,0.35560625
"2013-11-05","7:00p","Miami Heat",104,"Toronto Raptors",95,2014,"201311050TOR",0.534506944444444,1.2356375
"2013-11-06","7:30p","Utah Jazz",87,"Boston Celtics",97,2014,"201311060BOS",-0.97896875,-1.60108888888889
"2013-11-06","7:00p","Toronto Raptors",90,"Charlotte Bobcats",92,2014,"201311060CHA",-1.41067430555556,0.684386805555555
"2013-11-06","7:00p","Chicago Bulls",80,"Indiana Pacers",97,2014,"201311060IND",0.243608333333333,1.24173819444444
"2013-11-06","8:00p","New Orleans Pelicans",99,"Memphis Grizzlies",84,2014,"201311060MEM",0.533895138888889,-0.734376388888889
"2013-11-06","8:00p","Cleveland Cavaliers",104,"Milwaukee Bucks",109,2014,"201311060MIL",-2.62412291666667,-0.833311805555556
"2013-11-06","8:00p","Golden State Warriors",106,"Minnesota Timberwolves",93,2014,"201311060MIN",1.32529652777778,1.80076527777778
"2013-11-06","9:30p","Dallas Mavericks",93,"Oklahoma City Thunder",107,2014,"201311060OKC",2.20368611111111,0.782466666666667
"2013-11-06","7:00p","Los Angeles Clippers",90,"Orlando Magic",98,2014,"201311060ORL",-1.67025972222222,1.92136805555556
"2013-11-06","7:00p","Washington Wizards",116,"Philadelphia 76ers",102,2014,"201311060PHI",-1.84913263888889,1.05209375
"2013-11-06","8:30p","Phoenix Suns",96,"San Antonio Spurs",99,2014,"201311060SAS",2.65406944444444,-0.118613888888889
"2013-11-07","9:00p","Atlanta Hawks",107,"Denver Nuggets",109,2014,"201311070DEN",-0.447422916666667,0.950100694444444
"2013-11-07","9:30p","Los Angeles Lakers",99,"Houston Rockets",98,2014,"201311070HOU",2.08751180555556,-1.27126111111111
"2013-11-07","7:00p","Los Angeles Clippers",97,"Miami Heat",102,2014,"201311070MIA",1.93604583333333,2.026
"2013-11-08","7:00p","New York Knicks",101,"Charlotte Bobcats",91,2014,"201311080CHA",-0.855238194444444,0.215414583333333
"2013-11-08","8:00p","Utah Jazz",73,"Chicago Bulls",97,2014,"201311080CHI",1.40409375,-1.67301180555556
"2013-11-08","7:30p","Oklahoma City Thunder",119,"Detroit Pistons",110,2014,"201311080DET",-0.936328472222222,2.18298680555556
"2013-11-08","7:00p","Toronto Raptors",84,"Indiana Pacers",91,2014,"201311080IND",0.938890277777778,0.630430555555556
"2013-11-08","8:00p","Dallas Mavericks",108,"Minnesota Timberwolves",116,2014,"201311080MIN",1.4582875,0.276874305555556
"2013-11-08","8:00p","Los Angeles Lakers",85,"New Orleans Pelicans",96,2014,"201311080NOP",-0.501773611111111,-1.4100375
"2013-11-08","7:00p","Boston Celtics",91,"Orlando Magic",89,2014,"201311080ORL",-1.64045902777778,-1.14593125
"2013-11-08","7:00p","Cleveland Cavaliers",79,"Philadelphia 76ers",94,2014,"201311080PHI",-1.91912361111111,-0.747328472222222
"2013-11-08","9:00p","Denver Nuggets",103,"Phoenix Suns",114,2014,"201311080PHO",0.381625694444444,-1.02037361111111
"2013-11-08","10:00p","Sacramento Kings",91,"Portland Trail Blazers",104,2014,"201311080POR",0.862303472222222,-0.161330555555556
"2013-11-08","8:30p","Golden State Warriors",74,"San Antonio Spurs",76,2014,"201311080SAS",2.79788680555556,1.48117569444444
"2013-11-08","7:00p","Brooklyn Nets",108,"Washington Wizards",112,2014,"201311080WAS",1.00428490566038,1.34180943396226
"2013-11-09","7:30p","Orlando Magic",94,"Atlanta Hawks",104,2014,"201311090ATL",0.527544444444444,-1.79897847222222
"2013-11-09","7:30p","Indiana Pacers",96,"Brooklyn Nets",91,2014,"201311090BRK",1.45710902777778,1.26353125
"2013-11-09","7:30p","Philadelphia 76ers",125,"Cleveland Cavaliers",127,2014,"201311090CLE",-0.842327011494253,-1.72246781609195
"2013-11-09","8:00p","Los Angeles Clippers",107,"Houston Rockets",94,2014,"201311090HOU",2.11150625,1.98260486111111
"2013-11-09","8:00p","Golden State Warriors",90,"Memphis Grizzlies",108,2014,"201311090MEM",1.26493472222222,1.70715555555556
"2013-11-09","7:30p","Boston Celtics",111,"Miami Heat",110,2014,"201311090MIA",2.05994722222222,-0.878227777777778
"2013-11-09","8:30p","Dallas Mavericks",91,"Milwaukee Bucks",83,2014,"201311090MIL",-2.51662569444444,0.762929861111111
"2013-11-09","10:00p","Portland Trail Blazers",96,"Sacramento Kings",85,2014,"201311090SAC",-0.896663194444445,0.896553472222222
"2013-11-09","7:00p","Utah Jazz",91,"Toronto Raptors",115,2014,"201311090TOR",-0.250667361111111,-1.59772361111111
"2013-11-10","9:30p","Minnesota Timberwolves",113,"Los Angeles Lakers",90,2014,"201311100LAL",-1.16416111111111,1.47614583333333
"2013-11-10","12:00a","San Antonio Spurs",120,"New York Knicks",89,2014,"201311100NYK",-0.0593298611111112,2.12771388888889
"2013-11-10","7:00p","Washington Wizards",105,"Oklahoma City Thunder",106,2014,"201311100OKC",1.96144779874214,0.89774213836478
"2013-11-10","8:00p","New Orleans Pelicans",94,"Phoenix Suns",101,2014,"201311100PHO",0.550823611111111,-0.346204166666667
"2013-11-11","7:30p","Orlando Magic",105,"Boston Celtics",120,2014,"201311110BOS",-1.03141527777778,-1.6565625
"2013-11-11","7:00p","Atlanta Hawks",103,"Charlotte Bobcats",94,2014,"201311110CHA",-0.701552777777778,0.0241444444444444
"2013-11-11","8:00p","Cleveland Cavaliers",81,"Chicago Bulls",96,2014,"201311110CHI",1.45000555555556,-0.721078472222222
"2013-11-11","8:00p","Toronto Raptors",104,"Houston Rockets",110,2014,"201311110HOU",1.6981316091954,0.853756896551724
"2013-11-11","7:00p","Memphis Grizzlies",79,"Indiana Pacers",95,2014,"201311110IND",0.708290277777778,0.953733333333333
"2013-11-11","10:30p","Minnesota Timberwolves",107,"Los Angeles Clippers",109,2014,"201311110LAC",2.21119166666667,1.40072083333333
"2013-11-11","7:00p","San Antonio Spurs",109,"Philadelphia 76ers",85,2014,"201311110PHI",-1.87681527777778,1.77479375
"2013-11-11","10:00p","Detroit Pistons",103,"Portland Trail Blazers",109,2014,"201311110POR",0.838445138888889,-0.803344444444445
"2013-11-11","9:00p","Denver Nuggets",100,"Utah Jazz",81,2014,"201311110UTA",-1.73567708333333,-0.57175625
"2013-11-12","8:30p","Washington Wizards",95,"Dallas Mavericks",105,2014,"201311120DAL",0.825191666666667,1.01445069444444
"2013-11-12","10:30p","Detroit Pistons",95,"Golden State Warriors",113,2014,"201311120GSW",1.24708888888889,-1.12482986111111
"2013-11-12","10:30p","New Orleans Pelicans",95,"Los Angeles Lakers",116,2014,"201311120LAL",-1.42130138888889,-0.724688194444444
"2013-11-12","7:30p","Milwaukee Bucks",95,"Miami Heat",118,2014,"201311120MIA",1.32433055555556,-2.60668333333333
"2013-11-13","8:00p","New York Knicks",95,"Atlanta Hawks",91,2014,"201311130ATL",0.423929166666667,0.583252777777778
"2013-11-13","7:30p","Charlotte Bobcats",89,"Boston Celtics",83,2014,"201311130BOS",-1.42771041666667,-0.644623611111111
"2013-11-13","9:00p","Los Angeles Lakers",99,"Denver Nuggets",111,2014,"201311130DEN",-0.0113666666666667,-1.52657291666667
"2013-11-13","10:30p","Oklahoma City Thunder",103,"Los Angeles Clippers",111,2014,"201311130LAC",2.21647986111111,2.40090069444444
"2013-11-13","8:00p","Toronto Raptors",103,"Memphis Grizzlies",87,2014,"201311130MEM",1.0167875,0.427014583333333
"2013-11-13","8:00p","Cleveland Cavaliers",95,"Minnesota Timberwolves",124,2014,"201311130MIN",0.753613888888889,-1.33984930555556
"2013-11-13","7:00p","Milwaukee Bucks",91,"Orlando Magic",94,2014,"201311130ORL",-1.97144305555556,-2.56210763888889
"2013-11-13","7:00p","Houston Rockets",117,"Philadelphia 76ers",123,2014,"201311130PHI",-1.95626100628931,1.12207295597484
"2013-11-13","10:00p","Phoenix Suns",89,"Portland Trail Blazers",90,2014,"201311130POR",0.757638194444444,0.820032638888889
"2013-11-13","10:00p","Brooklyn Nets",86,"Sacramento Kings",107,2014,"201311130SAC",-0.303399305555556,1.07862986111111
